Temperature,Humidity,Distance
24.80 C,59.00 %,39.30 cm
25.30 C,59.00 %,37.34 cm
25.30 C,59.00 %,35.12 cm
25.30 C,58.00 %,33.54 cm
25.30 C,58.00 %,32.63 cm
25.30 C,58.00 %,31.00 cm
25.80 C,58.00 %,28.09 cm
25.80 C,57.00 %,26.51 cm
25.80 C,57.00 %,24.35 cm
25.80 C,57.00 %,22.91 cm
25.80 C,57.00 %,20.18 cm
25.80 C,56.00 %,18.01 cm
25.80 C,56.00 %,15.16 cm
25.80 C,56.00 %,13.73 cm
25.80 C,56.00 %,11.61 cm
25.80 C,56.00 %,10.41 cm
25.80 C,56.00 %,8.34 cm
25.80 C,"55.00 %,",6.26 cm
25.80 C,"55.00 %,",3.96 cm